event_id,event_date,employee_id,cost_center_id,classification_group,classification_level,event_type,amount_local,local_currency,work_country_code,ingest_ts,source_system
EVT00071144,2023-12-20,EMP02801,CC0053,FI,3,Step Increment,82128.93,CAD,CA,2023-12-21 13:00:00,PAYROLL
EVT00071599,2023-12-17,EMP04380,CC0048,EN,2,Leave Start,,CAD,CAN,2023-12-17 15:00:00,CORE_HR
EVT00070507,2023-12-19,EMP02749,CC0053,PA,2,Step Increment,56889.95,CAD,CA,2023-12-19 20:00:00,PAYROLL
EVT00070323,2023-12-18,EMP00401,CC0037,PA,2,Lateral Deployment,,CAD,CAN,2023-12-18 11:00:00,CORE_HR
EVT00071279,2023-12-10,EMP01579,CC0075,AS,2,Step Increment,64457.74,CAD,CA,2023-12-11 12:00:00,PAYROLL
EVT00071558,2023-12-02,EMP04439,CC0091,PA,2,Performance Pay,4354.26,CAD,CAN,2023-12-03 13:00:00,CORE_HR
EVT00071434,2023-12-22,EMP04254,CC0099,PA,2,Step Increment,79666.95,CAD,CAN,2023-12-22 21:00:00,CORE_HR
EVT00071412,2023-12-16,EMP00778,CC0057,PA,1,Leave Start,,CAD,CA,2023-12-16 23:00:00,PAYROLL
EVT00070952,2023-12-01,EMP02657,CC0003,FI,3,Performance Pay,10833.61,CAD,CA,2023-12-02 07:00:00,PAYROLL
EVT00070229,2023-12-10,EMP02762,CC0032,EN,1,Performance Pay,9861.13,CAD,CAN,2023-12-11 02:00:00,CORE_HR
EVT00070296,2023-12-26,EMP02941,CC0088,IT,3,Step Increment,84904.26,EUR,FR,2023-12-26 10:00:00,PAYROLL
EVT00071159,2023-12-01,EMP00940,CC0113,IT,1,Departure,,CAD,CA,2023-12-01 13:00:00,PAYROLL
EVT00069633,2023-12-05,EMP04448,CC0035,FI,2,Lateral Deployment,,CAD,CAN,2023-12-05 22:00:00,CORE_HR
EVT00069795,2023-12-23,EMP01392,CC0029,PA,2,Leave Return,,MXN,MEX,2023-12-23 21:00:00,CORE_HR
EVT00071307,2023-12-18,EMP01131,CC0120,EX,1,Lateral Deployment,,CAD,CA,2023-12-19 07:00:00,PAYROLL
EVT00071224,2023-12-15,EMP04809,CC0107,PA,3,Departure,,CAD,CAN,2023-12-15 15:00:00,CORE_HR
EVT00070522,2023-12-04,EMP04603,CC0070,IT,2,Performance Pay,13451.99,CAD,CA,2023-12-05 11:00:00,PAYROLL
EVT00070659,2023-12-05,EMP00001,CC0062,CR,1,Performance Pay,7298.4,CAD,CAN,2023-12-05 23:00:00,CORE_HR
EVT00070641,2023-12-06,EMP04087,CC0061,CR,5,Leave Return,,CAD,CAN,2023-12-06 14:00:00,CORE_HR
EVT00070716,2023-12-25,EMP01936,CC0100,EN,1,Leave Return,,CAD,CA,2023-12-25 16:00:00,PAYROLL
EVT00071135,2023-12-07,EMP04373,CC0032,PA,1,Performance Pay,5180.15,CAD,CAN,2023-12-08 00:00:00,CORE_HR
EVT00069962,2023-12-14,EMP03364,CC0016,IT,5,Promotion,111505.69,CAD,CA,2023-12-15 15:00:00,PAYROLL
EVT00070517,2023-12-21,EMP02123,CC0057,IT,5,Lateral Deployment,,CAD,CAN,2023-12-21 11:00:00,CORE_HR
EVT00070497,2023-12-18,EMP01729,CC0095,EN,4,Step Increment,137703.22,CAD,CA,2023-12-19 11:00:00,PAYROLL
EVT00070039,2023-12-01,EMP03319,CC0026,CR,3,Step Increment,65178.73,CAD,CA,2023-12-02 09:00:00,PAYROLL
EVT00069872,2023-12-05,EMP03253,CC0069,CR,1,Step Increment,53180.11,CAD,CA,2023-12-06 13:00:00,PAYROLL
EVT00071038,2023-12-25,EMP00549,CC0093,IT,3,Step Increment,-103042.47,CAD,CAN,2023-12-26 07:00:00,CORE_HR
EVT00069983,2023-12-23,EMP01452,CC0064,CR,3,Performance Pay,7778.07,CAD,CA,2023-12-23 16:00:00,PAYROLL
EVT00071629,2023-12-01,EMP01755,CC0047,PA,4,Leave Start,,CAD,CA,2023-12-01 09:00:00,PAYROLL
EVT00070441,2023-12-12,EMP04918,CC0092,CR,1,Leave Start,,CAD,CA,2023-12-13 11:00:00,PAYROLL
EVT00070298,2023-12-12,EMP00446,CC0004,PA,5,Leave Return,,CAD,CAN,2023-12-12 16:00:00,CORE_HR
EVT00071547,2023-12-15,EMP05069,CC0046,EN,3,Leave Start,,AUD,AU,2023-12-15 22:00:00,PAYROLL
EVT00070509,2023-12-11,EMP00596,CC0097,EN,2,Performance Pay,11041.84,CAD,CA,2023-12-11 20:00:00,PAYROLL
EVT00069721,2023-12-25,EMP03839,CC0028,IT,1,Step Increment,85076.58,CAD,CA,2023-12-25 21:00:00,PAYROLL
EVT00070279,2023-12-03,EMP03373,CC0044,IT,2,Performance Pay,13545.55,CAD,CA,2023-12-04 09:00:00,PAYROLL
EVT00070721,2023-12-07,EMP03893,CC0099,EX,2,Leave Start,,CAD,CAN,2023-12-07 22:00:00,CORE_HR
EVT00070994,2023-12-07,EMP02375,CC0030,EC,4,Step Increment,497932.85,BRL,BRA,2023-12-07 07:00:00,CORE_HR
EVT00071141,2023-12-25,EMP01562,CC0046,CR,4,Step Increment,7877683.12,KES,KE,2023-12-26 14:00:00,PAYROLL
EVT00071076,2023-12-25,EMP03719,CC0028,EX,1,Departure,,CAD,CAN,2023-12-26 13:00:00,CORE_HR
EVT00070005,2023-12-19,EMP01381,CC0095,EC,1,Lateral Deployment,,CAD,CAN,2023-12-20 14:00:00,CORE_HR
EVT00071579,2023-12-13,EMP02568,CC0003,EX,2,Performance Pay,20658.73,CAD,CA,2023-12-14 07:00:00,PAYROLL
EVT00071400,2023-12-03,EMP02980,CC0093,CR,1,Step Increment,53752.75,CAD,CA,2023-12-04 14:00:00,PAYROLL
EVT00071065,2023-12-06,EMP00339,CC0059,PA,2,Step Increment,66422.86,CAD,CAN,2023-12-06 14:00:00,CORE_HR
EVT00070983,2023-12-09,EMP04417,CC0077,AS,3,Hire,90653.57,CAD,CA,2023-12-09 22:00:00,PAYROLL
EVT00070883,2023-12-13,EMP03846,CC0031,AS,1,Promotion,3737598.84,INR,IND,2023-12-14 05:00:00,CORE_HR
EVT00071295,2023-12-10,EMP02463,CC0021,EN,1,Performance Pay,9754.1,CAD,CA,2023-12-11 08:00:00,PAYROLL
EVT00070216,2023-12-06,EMP02547,CC0107,PA,5,Step Increment,98144.03,CAD,CA,2023-12-06 12:00:00,PAYROLL
EVT00070610,2023-12-02,EMP00476,CC0050,EC,2,Leave Start,,CAD,CAN,2023-12-03 12:00:00,CORE_HR
EVT00070575,2023-12-04,EMP01100,CC0090,PA,4,Performance Pay,5858.5,CAD,CA,2023-12-04 10:00:00,PAYROLL
EVT00069988,2023-12-26,EMP03049,CC0034,CR,3,Leave Return,,CAD,CA,2023-12-26 21:00:00,PAYROLL
EVT00070709,2023-12-06,EMP00323,CC0025,PA,5,Leave Start,,CAD,CA,2023-12-07 20:00:00,PAYROLL
EVT00069926,2023-12-11,EMP01787,CC0060,IT,4,Leave Start,,CAD,CAN,2023-12-12 01:00:00,CORE_HR
EVT00070956,2023-12-18,EMP02981,CC0023,FI,3,Lateral Deployment,,CAD,CA,2023-12-19 03:00:00,PAYROLL
EVT00069817,2023-12-19,EMP03946,CC0034,EC,2,Step Increment,93390.6,CAD,CAN,2023-12-19 08:00:00,CORE_HR
EVT00071677,2023-12-22,EMP00796,CC0034,EC,3,Lateral Deployment,,CAD,CAN,2023-12-22 19:00:00,CORE_HR
EVT00069981,2023-12-08,EMP02254,CC0031,AS,4,Leave Start,,INR,IN,2023-12-09 03:00:00,PAYROLL
EVT00069788,2023-12-27,EMP05002,CC0115,PA,3,Lateral Deployment,,CAD,CAN,2023-12-27 16:00:00,CORE_HR
EVT00071194,2023-12-17,EMP04948,CC0066,EN,3,Step Increment,114590.9,CAD,CAN,2023-12-18 06:00:00,CORE_HR
EVT00070949,2023-12-03,EMP04188,CC0026,IT,5,Leave Return,,CAD,CA,2023-12-03 21:00:00,PAYROLL
EVT00070774,2023-12-13,EMP00368,CC0068,FI,3,Step Increment,100216.92,CAD,CA,2023-12-14 06:00:00,PAYROLL
EVT00070971,2023-12-24,EMP04568,CC0052,FI,4,Leave Start,,CAD,CA,2023-12-25 09:00:00,PAYROLL
EVT00070253,2023-12-17,EMP03790,CC0031,PA,4,Leave Return,,AED,AE,2023-12-18 10:00:00,PAYROLL
EVT00071098,2023-12-16,EMP04951,CC0093,PA,3,Leave Start,,CAD,CAN,2023-12-16 18:00:00,CORE_HR
EVT00070498,2023-12-24,EMP02164,CC0080,PA,2,Leave Start,,JPY,JPN,2023-12-25 01:00:00,CORE_HR
EVT00070320,2023-12-08,EMP01312,CC0028,EN,4,Lateral Deployment,,CAD,CA,2023-12-09 13:00:00,PAYROLL
EVT00070124,2023-12-06,EMP04519,CC0036,FI,2,Performance Pay,4119.14,CAD,CAN,2023-12-06 15:00:00,CORE_HR
EVT00070268,2023-12-27,EMP03694,CC0016,AS,2,Step Increment,67047.58,CAD,CA,2023-12-27 13:00:00,PAYROLL
EVT00070140,2023-12-10,EMP00410,CC0118,PA,3,Leave Start,,CAD,CA,2023-12-10 22:00:00,PAYROLL
