event_id,event_date,employee_id,cost_center_id,classification_group,classification_level,event_type,amount_local,local_currency,work_country_code,ingest_ts,source_system
EVT00104541,2025-05-14,EMP02275,CC0003,EC,1,Leave Return,,CAD,CAN,2025-05-15 06:00:00,CORE_HR
EVT00105496,2025-05-15,EMP03953,CC0063,EN,2,Lateral Deployment,,CAD,CAN,2025-05-15 22:00:00,CORE_HR
EVT00105382,2025-05-12,EMP02613,CC0103,PA,2,Hire,75930.67,CAD,CAN,2025-05-13 14:00:00,CORE_HR
EVT00104774,2025-05-03,EMP01001,CC0081,IT,2,Step Increment,96817.58,CAD,CA,2025-05-03 16:00:00,PAYROLL
EVT00103794,2025-05-19,EMP02534,CC0011,EX,1,Hire,146019.63,CAD,CA,2025-05-20 15:00:00,PAYROLL
EVT00104493,2025-05-11,EMP01392,CC0029,PA,2,Hire,1245148.82,MXN,MEX,2025-05-13 00:00:00,CORE_HR
EVT00103585,2025-05-19,EMP01632,CC0005,EX,1,Step Increment,137873.62,CAD,CA,2025-05-19 11:00:00,PAYROLL
EVT00105177,2025-05-23,EMP01065,CC0103,PA,2,Promotion,82622.63,CAD,CAN,2025-05-24 12:00:00,CORE_HR
EVT00104683,2025-05-10,EMP00606,CC0027,PA,1,Performance Pay,7823.83,CAD,CA,2025-05-10 14:00:00,PAYROLL
EVT00103790,2025-05-08,EMP03878,CC0041,PA,3,Hire,95969.64,CAD,CAN,2025-05-08 11:00:00,CORE_HR
EVT00105335,2025-05-08,EMP00692,CC0024,EN,1,Leave Start,,CAD,CAN,2025-05-09 10:00:00,CORE_HR
EVT00105020,2025-05-27,EMP03506,CC0050,CR,3,Performance Pay,8496.51,CAD,CAN,2025-05-27 14:00:00,CORE_HR
EVT00105070,2025-05-18,EMP04433,CC0063,FI,1,Leave Start,,CAD,CAN,2025-05-18 15:00:00,CORE_HR
EVT00104879,2025-05-14,EMP02266,CC0014,EC,2,Leave Start,,CAD,CAN,2025-05-14 18:00:00,CORE_HR
EVT00104307,2025-05-08,EMP02338,CC0011,PA,1,Step Increment,61240.66,CAD,CA,2025-05-08 21:00:00,PAYROLL
EVT00104543,2025-05-24,EMP00005,CC0006,IT,4,Performance Pay,16441.39,CAD,CAN,2025-05-24 23:00:00,CORE_HR
EVT00103704,2025-05-01,EMP01740,CC0052,FI,2,Leave Start,,CAD,CA,2025-05-02 03:00:00,PAYROLL
EVT00104724,2025-05-16,EMP03435,CC0021,IT,3,Step Increment,126446.63,CAD,CA,2025-05-16 17:00:00,PAYROLL
EVT00105379,2025-05-24,EMP04773,CC0049,FI,4,Step Increment,91316.53,EUR,DEU,2025-05-25 10:00:00,CORE_HR
EVT00105058,2025-05-13,EMP03315,CC0073,EC,3,Lateral Deployment,,CAD,CAN,2025-05-13 09:00:00,CORE_HR
EVT00105407,2025-05-13,EMP01283,CC0089,AS,3,Step Increment,81296.6,CAD,CAN,2025-05-13 10:00:00,CORE_HR
EVT00104329,2025-05-15,EMP02123,CC0057,IT,5,Performance Pay,9556.9,CAD,CAN,2025-05-16 12:00:00,CORE_HR
EVT00103896,2025-05-02,EMP03163,CC0039,PA,4,Leave Return,,CAD,CAN,2025-05-02 11:00:00,CORE_HR
EVT00105017,2025-05-26,EMP00042,CC0100,IT,1,Step Increment,91371.41,CAD,CAN,2025-05-26 23:00:00,CORE_HR
EVT00103609,2025-05-04,EMP01825,CC0098,EN,1,Lateral Deployment,,CAD,CAN,2025-05-04 08:00:00,CORE_HR
EVT00104744,2025-05-22,EMP01969,CC0110,PA,3,Step Increment,71134.22,CAD,CA,2025-05-22 18:00:00,PAYROLL
EVT00104030,2025-05-19,EMP04941,CC0051,IT,2,Departure,,CAD,CA,2025-05-19 23:00:00,PAYROLL
EVT00103740,2025-05-02,EMP03428,CC0039,PA,2,Step Increment,75954.98,CAD,CAN,2025-05-02 12:00:00,CORE_HR
EVT00103572,2025-05-14,EMP00300,CC0058,PA,3,Departure,,CAD,CAN,2025-05-14 12:00:00,CORE_HR
EVT00105397,2025-05-26,EMP00312,CC0090,CR,3,Lateral Deployment,,CAD,CAN,2025-05-26 07:00:00,CORE_HR
EVT00105374,2025-05-14,EMP04335,CC0109,PA,1,Lateral Deployment,,CAD,CA,2025-05-14 11:00:00,PAYROLL
EVT00103766,2025-05-17,EMP00928,CC0092,PA,5,Step Increment,112437.18,CAD,CAN,2025-05-17 09:00:00,CORE_HR
EVT00104763,2025-05-23,EMP01339,CC0087,EC,4,Step Increment,124215.42,CAD,CAN,2025-05-23 21:00:00,CORE_HR
EVT00104550,2025-05-06,EMP04667,CC0063,IT,2,Step Increment,102694.23,CAD,CAN,2025-05-06 20:00:00,CORE_HR
