event_id,event_date,employee_id,cost_center_id,classification_group,classification_level,event_type,amount_local,local_currency,work_country_code,ingest_ts,source_system
EVT00080250,2024-05-15,EMP02741,CC0111,CR,3,Performance Pay,3311.71,SGD,SGP,2024-05-15 09:00:00,CORE_HR
EVT00081858,2024-05-10,EMP03919,CC0083,PA,4,Step Increment,95666.72,CAD,CAN,2024-05-11 10:00:00,CORE_HR
EVT00080265,2024-05-02,EMP02772,CC0070,PA,2,Departure,,CAD,CA,2024-05-03 00:00:00,PAYROLL
EVT00081991,2024-05-04,EMP02629,CC0058,PA,4,Step Increment,102074.91,CAD,CAN,2024-05-05 14:00:00,CORE_HR
EVT00081779,2024-05-14,EMP04210,CC0049,EC,2,Step Increment,306957.32,BRL,BR,2024-05-14 13:00:00,PAYROLL
EVT00080201,2024-05-03,EMP04799,CC0039,EX,2,Promotion,163995.71,CAD,CA,2024-05-03 20:00:00,PAYROLL
EVT00080134,2024-05-10,EMP02019,CC0078,CR,1,Leave Start,,CAD,CAN,2024-05-10 11:00:00,CORE_HR
EVT00081426,2024-05-23,EMP04480,CC0092,PA,4,Leave Return,,CAD,CAN,2024-05-24 03:00:00,CORE_HR
EVT00080813,2024-05-11,EMP03505,CC0072,AS,2,Lateral Deployment,,CAD,CAN,2024-05-11 16:00:00,CORE_HR
EVT00080305,2024-05-17,EMP04622,CC0005,EC,2,Leave Return,,CAD,CA,2024-05-18 01:00:00,PAYROLL
EVT00080220,2024-05-01,EMP03032,CC0007,EX,2,Leave Start,,INR,IN,2024-05-02 04:00:00,PAYROLL
EVT00081961,2024-05-01,EMP00233,CC0072,PA,2,Step Increment,64229.39,CAD,CAN,2024-05-02 08:00:00,CORE_HR
EVT00081327,2024-05-09,EMP02323,CC0120,EN,1,Step Increment,85139.35,CAD,CA,2024-05-10 03:00:00,PAYROLL
EVT00081515,2024-05-16,EMP00055,CC0068,IT,1,Performance Pay,7236.66,CAD,CAN,2024-05-17 05:00:00,CORE_HR
EVT00079919,2024-05-11,EMP04475,CC0117,PA,4,Leave Start,,CAD,CAN,2024-05-12 00:00:00,CORE_HR
EVT00081983,2024-05-21,EMP02814,CC0017,CR,1,Leave Start,,CAD,CA,2024-05-21 19:00:00,PAYROLL
EVT00080634,2024-05-20,EMP02401,CC0059,IT,3,Step Increment,142218.29,CAD,CAN,2024-05-20 19:00:00,CORE_HR
EVT00080240,2024-05-22,EMP03816,CC0086,PA,1,Lateral Deployment,,EUR,DEU,2024-05-22 08:00:00,CORE_HR
EVT00080215,2024-05-24,EMP03031,CC0107,IT,3,Lateral Deployment,,CAD,CAN,2024-05-25 14:00:00,CORE_HR
EVT00081017,2024-05-17,EMP04140,CC0079,PA,3,Leave Start,,CAD,CAN,2024-05-17 11:00:00,CORE_HR
