event_id,event_date,employee_id,cost_center_id,classification_group,classification_level,event_type,amount_local,local_currency,work_country_code,ingest_ts,source_system
EVT00066240,2023-10-22,EMP04712,CC0086,CR,4,Hire,61387.29,EUR,DE,2023-10-22 22:00:00,PAYROLL
EVT00065980,2023-10-11,EMP02076,CC0034,PA,1,Departure,,CAD,CAN,2023-10-12 00:00:00,CORE_HR
EVT00065799,2023-10-07,EMP04179,CC0108,IT,3,Lateral Deployment,,EUR,DEU,2023-10-08 12:00:00,CORE_HR
EVT00066407,2023-10-01,EMP00256,CC0088,IT,1,Leave Return,,EUR,DEU,2023-10-01 20:00:00,CORE_HR
EVT00067658,2023-10-24,EMP03939,CC0099,AS,2,Step Increment,49907.97,CAD,CAN,2023-10-25 07:00:00,CORE_HR
EVT00066269,2023-10-14,EMP02521,CC0045,IT,1,Step Increment,84333.19,CAD,CAN,2023-10-14 09:00:00,CORE_HR
EVT00067016,2023-10-11,EMP00653,CC0006,AS,3,Leave Return,,CAD,CAN,2023-10-12 13:00:00,CORE_HR
EVT00066942,2023-10-13,EMP00885,CC0040,EC,4,Hire,105852.81,CAD,CA,2023-10-14 01:00:00,PAYROLL
EVT00066440,2023-10-20,EMP03575,CC0120,PA,2,Leave Return,,CAD,CA,2023-10-21 15:00:00,PAYROLL
EVT00067104,2023-10-02,EMP01449,CC0112,IT,1,Step Increment,87079.03,CAD,CA,2023-10-03 00:00:00,PAYROLL
EVT00066112,2023-10-24,EMP00032,CC0119,EN,5,Step Increment,133415.02,CAD,CAN,2023-10-24 10:00:00,CORE_HR
EVT00066813,2023-10-08,EMP04080,CC0061,PA,1,Step Increment,60186.71,CAD,CAN,2023-10-09 03:00:00,CORE_HR
EVT00067628,2023-10-23,EMP02435,CC0038,IT,2,Performance Pay,9984.23,CAD,CA,2023-10-23 11:00:00,PAYROLL
EVT00066163,2023-10-01,EMP02777,CC0006,FI,4,Leave Return,,CAD,CAN,2023-10-02 01:00:00,CORE_HR
EVT00067267,2023-10-25,EMP03560,CC0112,IT,4,Performance Pay,13441.81,CAD,CAN,2023-10-25 18:00:00,CORE_HR
EVT00066812,2023-10-08,EMP00490,CC0070,PA,2,Performance Pay,8321.44,CAD,CA,2023-10-09 05:00:00,PAYROLL
EVT00067127,2023-10-05,EMP03466,CC0012,IT,5,Step Increment,120504.54,CAD,CAN,2023-10-06 10:00:00,CORE_HR
EVT00065944,2023-10-02,EMP00277,CC0089,PA,3,Performance Pay,10867.23,CAD,CAN,2023-10-02 15:00:00,CORE_HR
EVT00066587,2023-10-26,EMP05088,CC0066,PA,3,Leave Start,,CAD,CAN,2023-10-27 13:00:00,CORE_HR
EVT00065921,2023-10-03,EMP02485,CC0074,EC,2,Performance Pay,30313.87,AED,ARE,2023-10-03 15:00:00,CORE_HR
EVT00067233,2023-10-15,EMP03444,CC0072,EX,1,Step Increment,134576.2,CAD,CAN,2023-10-16 14:00:00,CORE_HR
EVT00066630,2023-10-16,EMP00990,CC0068,IT,1,Performance Pay,3391.65,CAD,CA,2023-10-17 04:00:00,PAYROLL
EVT00066313,2023-10-23,EMP01086,CC0043,EC,2,Leave Return,,CAD,CAN,2023-10-23 08:00:00,CORE_HR
EVT00065742,2023-10-26,EMP01981,CC0101,AS,3,Leave Start,,CAD,CAN,2023-10-26 16:00:00,CORE_HR
EVT00067032,2023-10-14,EMP03775,CC0072,IT,2,Leave Return,,CAD,CAN,2023-10-14 11:00:00,CORE_HR
EVT00065961,2023-10-08,EMP00381,CC0048,EX,2,Step Increment,156727.59,CAD,CAN,2023-10-08 23:00:00,CORE_HR
EVT00067586,2023-10-15,EMP01677,CC0010,PA,2,Leave Return,,CAD,CAN,2023-10-16 09:00:00,CORE_HR
EVT00067572,2023-10-22,EMP04301,CC0045,AS,2,Step Increment,65417.8,XXX,CA,2023-10-22 14:00:00,PAYROLL
