event_id,event_date,employee_id,cost_center_id,classification_group,classification_level,event_type,amount_local,local_currency,work_country_code,ingest_ts,source_system
EVT00046285,2022-12-05,EMP03187,CC0080,AS,4,Hire,4070988.55,INR,IND,2022-12-06 12:00:00,CORE_HR
EVT00046247,2022-12-12,EMP04456,CC0047,CR,4,Leave Start,,CAD,CA,2022-12-12 12:00:00,PAYROLL
EVT00046934,2022-12-13,EMP04459,CC0108,EX,1,Leave Start,,AED,ARE,2022-12-14 11:00:00,CORE_HR
EVT00046414,2022-12-04,EMP00802,CC0036,EX,1,Promotion,142249.13,CAD,CA,2022-12-04 11:00:00,PAYROLL
EVT00045802,2022-12-14,EMP00603,CC0068,PA,2,Promotion,68315.42,CAD,CA,2022-12-15 10:00:00,PAYROLL
EVT00047602,2022-12-06,EMP02941,CC0088,IT,3,Step Increment,277680.12,AED,ARE,2022-12-06 12:00:00,CORE_HR
EVT00047421,2022-12-18,EMP04432,CC0104,FI,2,Step Increment,78883.18,CAD,CAN,2022-12-19 14:00:00,CORE_HR
EVT00047155,2022-12-03,EMP00990,CC0068,IT,1,Performance Pay,7434.34,CAD,CAN,2022-12-03 19:00:00,CORE_HR
EVT00047428,2022-12-15,EMP01571,CC0113,EX,1,Departure,,CAD,CA,2022-12-15 06:00:00,PAYROLL
EVT00047273,2022-12-05,EMP02092,CC0087,IT,5,Step Increment,112987.05,CAD,CA,2022-12-05 07:00:00,PAYROLL
EVT00046720,2022-12-18,EMP02859,CC0016,AS,1,Promotion,43154.45,CAD,CAN,2022-12-18 19:00:00,CORE_HR
EVT00046880,2022-12-02,EMP00755,CC0039,IT,2,Performance Pay,11626.74,CAD,CAN,2022-12-02 14:00:00,CORE_HR
EVT00047541,2022-12-11,EMP02313,CC0087,EC,3,Leave Start,,CAD,CA,2022-12-12 13:00:00,PAYROLL
EVT00047096,2022-12-22,EMP03457,CC0090,IT,2,Hire,94308.26,CAD,CAN,2022-12-22 10:00:00,CORE_HR
EVT00046800,2022-12-11,EMP01555,CC0058,FI,1,Step Increment,64456.35,CAD,CAN,2022-12-12 14:00:00,CORE_HR
EVT00046594,2022-12-07,EMP02692,CC0033,PA,4,Step Increment,87338.44,CAD,CAN,2022-12-08 08:00:00,CORE_HR
EVT00047317,2022-12-17,EMP04406,CC0009,IT,2,Step Increment,359425.8,BRL,BRA,2022-12-17 23:00:00,CORE_HR
EVT00046857,2022-12-22,EMP04435,CC0118,AS,5,Leave Start,,CAD,CA,2022-12-23 08:00:00,PAYROLL
EVT00046135,2022-12-15,EMP00529,CC0087,FI,4,Performance Pay,12400.97,CAD,CA,2022-12-16 02:00:00,PAYROLL
EVT00047394,2022-12-18,EMP02618,CC0037,EN,4,Leave Start,,CAD,CA,2022-12-19 08:00:00,PAYROLL
EVT00047743,2022-12-03,EMP01802,CC0004,CR,4,Step Increment,64642.78,CAD,CAN,2022-12-04 01:00:00,CORE_HR
EVT00047011,2022-12-10,EMP01412,CC0109,PA,3,Departure,,CAD,CAN,2022-12-10 09:00:00,CORE_HR
EVT00046220,2022-12-05,EMP00042,CC0100,IT,1,Step Increment,76873.62,CAD,CA,2022-12-06 13:00:00,PAYROLL
EVT00047086,2022-12-07,EMP04865,CC0070,EC,2,Performance Pay,9294.94,CAD,CA,2022-12-08 09:00:00,PAYROLL
EVT00046345,2022-12-11,EMP04626,CC0115,PA,1,Step Increment,56183.85,CAD,CA,2022-12-12 10:00:00,PAYROLL
EVT00046337,2022-12-20,EMP02148,CC0066,EX,2,Performance Pay,16010.25,CAD,CAN,2022-12-20 11:00:00,CORE_HR
EVT00047535,2022-12-23,EMP00746,CC0049,EC,1,Leave Start,,XXX,DEU,2022-12-23 09:00:00,CORE_HR
EVT00045789,2022-12-18,EMP01757,CC0023,IT,5,Step Increment,146172.59,CAD,CA,2022-12-19 07:00:00,PAYROLL
EVT00046670,2022-12-02,EMP01681,CC0051,PA,5,Step Increment,94179.34,CAD,CA,2022-12-03 09:00:00,PAYROLL
EVT00046144,2022-12-12,EMP02443,CC0105,PA,3,Step Increment,3725452.99,INR,IN,2022-12-13 10:00:00,PAYROLL
EVT00046361,2022-12-15,EMP00028,CC0067,EC,1,Step Increment,73053.2,CAD,CAN,2022-12-15 06:00:00,CORE_HR
EVT00046007,2022-12-14,EMP00944,CC0028,EN,1,Step Increment,83061.53,CAD,CAN,2022-12-14 06:00:00,CORE_HR
EVT00047200,2022-12-16,EMP01355,CC0054,AS,3,Step Increment,87397.81,AUD,AU,2022-12-16 20:00:00,PAYROLL
EVT00046886,2022-12-11,EMP04585,CC0061,PA,1,Performance Pay,8349.14,CAD,CAN,2022-12-12 11:00:00,CORE_HR
EVT00047327,2022-12-06,EMP02437,CC0024,EC,4,Promotion,105045.69,CAD,CA,2022-12-06 17:00:00,PAYROLL
EVT00046862,2022-12-02,EMP00034,CC0044,CR,1,Leave Return,,CAD,CA,2022-12-03 08:00:00,PAYROLL
EVT00047497,2022-12-22,EMP02856,CC0079,EN,4,Leave Return,,CAD,CAN,2022-12-23 11:00:00,CORE_HR
EVT00046517,2022-12-27,EMP03561,CC0116,PA,3,Departure,,CAD,CAN,2022-12-28 04:00:00,CORE_HR
EVT00047204,2022-12-14,EMP04009,CC0035,EX,1,Step Increment,124844.73,CAD,CAN,2022-12-14 17:00:00,CORE_HR
EVT00047594,2022-12-09,EMP01942,CC0075,IT,2,Departure,,CAD,CA,2022-12-10 14:00:00,PAYROLL
